sch_name,sch_alias
湖北中医药高等专科学校,湖北中医药高等专科学校
河北科技大学,河北纺织职工大学
河北科技大学,河北科技大学
河北科技大学,河北科技大學
河北科技大学,河北轻化工学院
河北科技大学,河北省纺织职工大学
中国科学院大学,中国科学院大学
中国科学院大学,中国科学院研究生院
中国科学院大学,中科院研究生院
四川文轩职业学院,四川文轩职业学院
河北师范大学汇华学院,河北师范大学汇华学院
四川护理职业学院,四川护理职业学院
太湖创意职业技术学院,太湖创意职业技术学院
湖北青年职业学院,湖北青年职业学院
上海邦德职业技术学院,民办上海邦德职业技术学院
上海邦德职业技术学院,上海邦德学院
上海邦德职业技术学院,上海邦德职业技术学院
武昌职业学院,武昌职业学院
阿坝师范学院,阿坝师范高等专科学校
阿坝师范学院,阿坝师范高等专科学院
阿坝师范学院,阿坝师范学院
青海柴达木职业技术学院,青海柴达木职业技术学院
长沙医学院,长沙医学院
重庆文化艺术职业学院,重庆市文化艺术研究院
重庆文化艺术职业学院,重庆市文化艺术研究院(资源)
重庆文化艺术职业学院,重庆文化艺术职业学院
重庆幼儿师范高等专科学校,重庆三峡师范学校
